"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2010,"04","出口","吨","万美元","大米",0,"合计",294866.8,20218.1,322311.6,22316.8,-8.5,-9.4,11
2010,"04","出口","吨","万美元","大米",1,"韩国",123865,8779.1,108796,8864.7,13.9,-1,11
2010,"04","出口","吨","万美元","大米",2,"日本",33465.6,3411.4,40402.8,3907.1,-17.2,-12.7,11
2010,"04","出口","吨","万美元","大米",3,"香港",19468.1,1342.9,14432,877,34.9,53.1,11
2010,"04","进口","吨","万美元","大米",0,"合计",122612.8,9011.6,93352.3,6609.2,31.3,36.3,15
2010,"04","进口","吨","万美元","大米",1,"泰国",119246.3,8854.2,91912.9,6552.9,29.7,35.1,15
2010,"04","进口","吨","万美元","大米",2,"越南",1049.8,70,359.6,12.1,191.9,479,15
2010,"04","进口","吨","万美元","大米",3,"老挝",1861,63.8,965.5,32.5,92.8,96.1,15
2010,"04","出口","吨","万美元","小麦",0,"合计",1.2,0.1,3633.1,96.2,-100,-99.8,13
2010,"04","出口","吨","万美元","小麦",1,"斯里兰卡",1.2,0.1,NA,NA,NA,NA,13
2010,"04","出口","吨","万美元","小麦",1,"香港",4592,2356.2,3828.6,1541.8,19.9,52.8,13
2010,"04","进口","吨","万美元","小麦",0,"合计",507060.1,12630.5,159218.9,3595,218.5,251.3,16
2010,"04","进口","吨","万美元","小麦",1,"澳大利亚",378914.2,9350,68468.3,1712.5,453.4,446,16
2010,"04","进口","吨","万美元","小麦",2,"加拿大",53316.9,1472.9,99.4,5.6,53527.9,26063.4,16
2010,"04","进口","吨","万美元","小麦",15,NA,NA,NA,NA,NA,NA,NA,16
2010,"04","出口","吨","万美元","玉米",0,"合计",54846.7,1346,12347.2,304.3,344.2,342.3,13
2010,"04","出口","吨","万美元","玉米",1,"日本",27487.9,662.1,26.3,6.8,104376.9,9695.3,13
2010,"04","出口","吨","万美元","玉米",2,"亚洲其他",15292.1,378.8,NA,NA,NA,NA,13
2010,"04","出口","吨","万美元","玉米",3,"韩国",11046.7,271.2,200,6,5423.4,4420.2,13
2010,"04","进口","吨","万美元","玉米",0,"合计",18913.8,997.5,1787.1,312.1,958.3,219.7,17
2010,"04","进口","吨","万美元","玉米",1,"美国",6782.7,425.7,1659.1,113.1,308.8,276.2,17
2010,"04","进口","吨","万美元","玉米",2,"德国",87.4,239.4,44.2,103.1,97.5,132.2,17
2010,"04","进口","吨","万美元","玉米",3,"泰国",8700.2,184.9,NA,NA,NA,NA,17
2010,"04","进口","吨","万美元","大豆",0,"合计",15227990.9,689524.9,13858451.8,553026.5,9.9,24.7,15
2010,"04","进口","吨","万美元","大豆",1,"美国",12809948,583862.7,10380519.5,411780.4,23.4,41.8,15
2010,"04","进口","吨","万美元","大豆",2,"巴西",2375405.9,103796.5,2034135.2,83057.7,16.8,25,15
2010,"04","进口","吨","万美元","大豆",3,"加拿大",42637,1865.7,135852.1,5249.2,-68.6,-64.5,15
2010,"04","出口","吨","万美元","豆粕",0,"合计",371699.2,16213.8,169030.1,7739.9,119.9,109.5,11
2010,"04","出口","吨","万美元","豆粕",1,"日本",251137.1,10916.6,84791.3,3690.9,196.2,195.8,11
2010,"04","出口","吨","万美元","豆粕",2,"韩国",50191.2,1830.3,22246,635.4,125.6,188.1,11
2010,"04","出口","吨","万美元","豆粕",3,"越南",34339.7,1542.5,32572,1366.2,5.4,12.9,11
2010,"04","进口","吨","万美元","豆粕",0,"合计",38991.9,1821.9,100611.4,3303.1,-61.2,-44.8,15
2010,"04","进口","吨","万美元","豆粕",1,"印度",36861.9,1654.9,100391.4,3289.5,-63.3,-49.7,15
2010,"04","进口","吨","万美元","豆粕",2,"丹麦",1100,89.9,NA,NA,NA,NA,15
2010,"04","进口","吨","万美元","豆粕",3,"台湾省",980,72.9,220,13.6,345.5,435.1,15
2010,"04","出口","吨","万美元","猪肉",0,"合计",33240.6,9996.3,27913.4,9010.9,19.1,10.9,14
2010,"04","出口","吨","万美元","猪肉",1,"香港",26160.6,7827.3,23237.5,7446.7,12.6,5.1,14
2010,"04","出口","吨","万美元","猪肉",2,"吉尔吉斯斯坦",3150.5,956,2342.7,771.5,34.5,23.9,14
2010,"04","出口","吨","万美元","猪肉",3,"澳门",1431,437,1203.3,363.5,18.9,20.2,14
2010,"04","出口","吨","万美元","植物油",0,"合计",34027,5647.3,32727.6,4764.7,4,18.5,13
2010,"04","出口","吨","万美元","植物油",1,"香港",9326.4,1381.8,10722.2,1842.2,-13,-25,13
2010,"04","出口","吨","万美元","植物油",2,"日本",4971.2,735.1,911.5,233.1,445.4,215.4,13
2010,"04","出口","吨","万美元","植物油",3,"亚洲其他",5476.7,610.5,NA,NA,NA,NA,13
