"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2010,"10","出口","吨","万美元","大米",0,"合计",503442.8,33502,643130.1,43482.8,-21.7,-23,8
2010,"10","出口","吨","万美元","大米",1,"韩国",171657,12666.7,163421,13687.5,5,-7.5,8
2010,"10","出口","吨","万美元","大米",2,"日本",46990.6,4763.5,72964.5,6908.2,-35.6,-31,8
2010,"10","出口","吨","万美元","大米",3,"朝鲜",63135.8,2678.1,34545.8,1290.3,82.8,107.6,8
2010,"10","进口","吨","万美元","大米",0,"合计",253201,16660.3,220202.3,13220.7,15,26,12
2010,"10","进口","吨","万美元","大米",1,"泰国",195740,14450.3,215951.9,13053.1,-9.4,10.7,12
2010,"10","进口","吨","万美元","大米",2,"越南",52349.1,2007.3,2479.2,84.8,2011.5,2267.9,12
2010,"10","进口","吨","万美元","大米",3,"老挝",2876.1,89,1179.3,41.3,143.9,115.5,12
2010,"10","出口","吨","万美元","小麦",0,"合计",1.2,0.2,8400.1,226.3,-100,-99.9,10
2010,"10","出口","吨","万美元","小麦",1,"斯里兰卡",1.2,0.2,NA,NA,NA,NA,10
2010,"10","出口","吨","万美元","小麦",1,"印度尼西亚",28800.5,11589.1,28259.7,10312.8,1.9,12.4,10
2010,"10","进口","吨","万美元","小麦",0,"合计",1216714.3,31141.3,605971.4,13945.9,100.8,123.3,14
2010,"10","进口","吨","万美元","小麦",1,"澳大利亚",756866,19085.1,221407.2,5122.2,241.8,272.6,14
2010,"10","进口","吨","万美元","小麦",2,"加拿大",283661,7781.8,36979,917.2,667.1,748.4,14
2010,"10","进口","吨","万美元","小麦",3,"美国",127633.6,3090.4,291690,6657.5,-56.2,-53.6,14
2010,"10","出口","吨","万美元","玉米",0,"合计",112233.9,2896.7,88377.1,2177.9,27,33,10
2010,"10","出口","吨","万美元","玉米",1,"朝鲜",72549.6,1914.8,60333.6,1444.7,20.2,32.5,10
2010,"10","出口","吨","万美元","玉米",2,"日本",27487.9,662.1,6205.9,171,342.9,287.3,10
2010,"10","出口","吨","万美元","玉米",3,"韩国",11106.7,272.6,800,24.5,1288.3,1014.1,10
2010,"10","进口","吨","万美元","玉米",0,"合计",1479359.2,34530.6,33655.4,1167.4,4295.6,2857.8,14
2010,"10","进口","吨","万美元","玉米",1,"美国",1436602.5,33309.2,5781.6,399.6,24747.9,8234.8,14
2010,"10","进口","吨","万美元","玉米",2,"老挝",24620.9,517.9,16163.4,326,52.3,58.9,14
2010,"10","进口","吨","万美元","玉米",3,"德国",97.5,269.5,50.1,117.7,94.6,128.9,14
2010,"10","进口","吨","万美元","大豆",0,"合计",43894666.5,1940343.4,34877366.8,1528642.9,25.9,26.9,12
2010,"10","进口","吨","万美元","大豆",1,"巴西",17834213.4,776220.7,15810368.1,726204.3,12.8,6.9,12
2010,"10","进口","吨","万美元","大豆",2,"美国",14923286.3,677659.6,14386503.9,594891.7,3.7,13.9,12
2010,"10","进口","吨","万美元","大豆",3,"阿根廷",9819276.7,428611.3,3744236.7,165128.7,162.3,159.6,12
2010,"10","出口","吨","万美元","豆粕",0,"合计",950970,39482.7,985607.1,44076.1,-3.5,-10.4,8
2010,"10","出口","吨","万美元","豆粕",1,"日本",758869,30842.6,616826.8,26937.4,23,14.5,8
2010,"10","出口","吨","万美元","豆粕",2,"韩国",65362.7,2332.9,76072.4,2835,-14.1,-17.7,8
2010,"10","出口","吨","万美元","豆粕",3,"越南",44103.3,1918.4,143012.4,6351.4,-69.2,-69.8,8
2010,"10","进口","吨","万美元","豆粕",0,"合计",92307.8,4067.4,121337.7,4234.4,-23.9,-3.9,12
2010,"10","进口","吨","万美元","豆粕",1,"印度",86177.8,3573,118986.9,4078.1,-27.6,-12.4,12
2010,"10","进口","吨","万美元","豆粕",2,"丹麦",3350,274.4,500,42.7,570,542.8,12
2010,"10","进口","吨","万美元","豆粕",3,"台湾省",2680,211.6,1300,93.1,106.2,127.3,12
2010,"10","出口","吨","万美元","猪肉",0,"合计",88685.7,26134.9,72324.3,21871.3,22.6,19.5,11
2010,"10","出口","吨","万美元","猪肉",1,"香港",67472.5,19892.9,58573.2,17673.4,15.2,12.6,11
2010,"10","出口","吨","万美元","猪肉",2,"吉尔吉斯斯坦",9273.2,2803.7,7297.8,2309.6,27.1,21.4,11
2010,"10","出口","吨","万美元","猪肉",3,"澳门",3532.1,1024.2,3153.9,930.3,12,10.1,11
2010,"10","进口","吨","万美元","猪肉",0,"合计及其副产品",674270.3,70751.7,412120.5,41116.2,63.6,72.1,14
2010,"10","进口","吨","万美元","猪肉",1,"丹麦",316169.2,30473.4,156706.8,14380.2,101.8,111.9,14
2010,"10","进口","吨","万美元","猪肉",2,"加拿大",152968.8,15590.1,95703.4,9885.1,59.8,57.7,14
2010,"10","进口","吨","万美元","猪肉",3,"美国",85285.6,11167.7,76581.5,8200.6,11.4,36.2,14
2010,"10","出口","吨","万美元","植物油",0,"合计",92817.1,14525.3,88082.2,13081.8,5.4,11,10
2010,"10","出口","吨","万美元","植物油",1,"香港",22308.2,3429.8,20813,3870.6,7.2,-11.4,10
2010,"10","出口","吨","万美元","植物油",2,"朝鲜",24206.9,2762.1,11531,1203.8,109.9,129.4,10
2010,"10","出口","吨","万美元","植物油",3,"韩国",6631.3,1369.8,4777.9,682,38.8,100.9,10
2010,"10","进口","吨","万美元","菜籽油",0,"合计",771332.8,70446,402630.5,32283.1,91.6,118.2,12
2010,"10","进口","吨","万美元","菜籽油",1,"加拿大",718464.4,65614.1,379791,30435.2,89.2,115.6,12
2010,"10","进口","吨","万美元","菜籽油",2,"阿拉伯联合酋长",50548.6,4574.9,17401,1369.6,190.5,234,12
2010,"10","进口","吨","万美元","豆油",0,"合计",1072102.2,94980.1,1957737.5,147729.3,-45.2,-35.7,12
2010,"10","进口","吨","万美元","豆油",1,"巴西",763844.5,67437.6,412902.1,31887.8,85,111.5,12
2010,"10","进口","吨","万美元","豆油",2,"阿根廷",154948.8,13687.3,1489437.3,111615.4,-89.6,-87.7,12
2010,"10","进口","吨","万美元","豆油",3,"美国",151539.8,13648.9,52507.5,3972.4,188.6,243.6,12
2010,"10","出口","吨","万美元","棉花",0,"合计",6367.4,912.7,8026.1,1751.5,-20.7,-47.9,9
2010,"10","出口","吨","万美元","棉花",1,"朝鲜",3773.6,367.4,3080,773.1,22.5,-52.5,9
2010,"10","出口","吨","万美元","棉花",2,"韩国",1128.6,238.2,1022.4,198.9,10.4,19.8,9
2010,"10","出口","吨","万美元","棉花",3,"泰国",392.3,75.2,917.4,207.9,-57.2,-63.8,9
2010,"10","进口","吨","万美元","棉花",0,"合计",2248960.8,413243.1,1197458.8,158928.6,87.8,160,13
2010,"10","进口","吨","万美元","棉花",1,"美国",847094.2,161893.8,580088.3,77150.8,46,109.8,13
2010,"10","进口","吨","万美元","棉花",2,"印度",613832,104398,160965.9,21233.3,281.3,391.7,13
2010,"10","进口","吨","万美元","棉花",3,"乌兹别克斯坦",265623,46425.2,129255.2,15945.7,105.5,191.1,13
2010,"10","进口","吨","万美元","羊毛",0,"合计",262492.9,156514.6,247873.8,108724.8,5.9,44,14
2010,"10","进口","吨","万美元","羊毛",1,"澳大利亚",142437.8,111223.6,145638.1,79154.5,-2.2,40.5,14
2010,"10","进口","吨","万美元","羊毛",2,"新西兰",43322.2,14840.8,38416.6,10698.7,12.8,38.7,14
2010,"10","进口","吨","万美元","羊毛",3,"南非",11725.2,8814.9,11625,5631.2,0.9,56.5,14
