"year","month","type","quantity","currency","cat","V0","V1","V2","V3","V4","V5","V6","V7","page"
2014,"12","出口","吨；","万美元","大米",0,"合计",419071,37828.3,478403.9,41666.5,-12.4,-9.2,8
2014,"12","出口","吨；","万美元","大米",1,"韩国",236621,19865.5,323041,25726.3,-26.8,-22.8,8
2014,"12","出口","吨；","万美元","大米",2,"朝鲜",63883.5,3732.1,49526.7,2850.5,29,30.9,8
2014,"12","出口","吨；","万美元","大米",3,"越南",10363.4,2552.7,10416.4,2894.7,-0.5,-11.8,8
2014,"12","进口","吨；","万美元","大米",0,"合计",2575982,125305.3,2265948,108091.4,13.7,15.9,12
2014,"12","进口","吨；","万美元","大米",1,"越南",1350298.4,62551.3,1476958,61462.2,-8.6,1.8,12
2014,"12","进口","吨；","万美元","大米",2,"泰国",750193.5,42492.9,326485.7,26599.4,129.8,59.8,12
2014,"12","进口","吨；","万美元","大米",3,"巴基斯坦",405470.4,15824.3,415999.6,17201.8,-2.5,-8,12
2014,"12","出口","吨；","万美元","小麦",0,"合计",957.5,31.1,2520,100.8,-62,-69.1,10
2014,"12","出口","吨；","万美元","小麦",1,"美国",957.4,31.1,2520,100.8,-62,-69.1,10
2014,"12","出口","吨；","万美元","小麦",2,"孟加拉国",0,0,NA,NA,NA,NA,10
2014,"12","进口","吨；","万美元","小麦",0,"合计",2907109.1,94642.7,5459720.2,185425,-46.8,-49,14
2014,"12","进口","吨；","万美元","小麦",1,"澳大利亚",1363222.3,44079.2,616098.5,21250.9,121.3,107.4,14
2014,"12","进口","吨；","万美元","小麦",2,"美国",830617.2,27271.8,3781758.9,125043.9,-78,-78.2,14
2014,"12","进口","吨；","万美元","小麦",3,"加拿大",382499.2,13287.1,831959,31767.9,-54,-58.2,14
2014,"12","出口","吨；","万美元","玉米",0,"合计",20021.1,767.6,77625.6,3317.1,-74.2,-76.9,10
2014,"12","出口","吨；","万美元","玉米",1,"朝鲜",15658.3,566.2,76571.7,3190.7,-79.6,-82.3,10
2014,"12","出口","吨；","万美元","玉米",2,"新加坡",2258.3,65.6,NA,NA,NA,NA,10
2014,"12","出口","吨；","万美元","玉米",3,"越南",117.9,60.2,165,72.7,-28.6,-17.1,10
2014,"12","进口","吨；","万美元","玉米",0,"合计",2492649.2,70036.7,3176347.8,91243.9,-21.5,-23.2,14
2014,"12","进口","吨；","万美元","玉米",1,"美国",995955.1,28534.5,2879178.8,82305.1,-65.4,-65.3,14
2014,"12","进口","吨；","万美元","玉米",2,"乌克兰",905625,24160.9,108949.1,2617.8,731.2,823,14
2014,"12","进口","吨；","万美元","玉米",3,"泰国",280006.3,8276.4,3100,88.4,8932.5,9260.3,14
2014,"12","进口","吨；","万美元","大豆",0,"合计",4027215.2,3797001,12.7,6.1,NA,NA,12
2014,"12","进口","吨；","万美元","大豆",2,"0",NA,NA,NA,NA,NA,NA,12
2014,"12","进口","吨；","万美元","大豆",32005373,"31808580.",NA,NA,NA,NA,NA,NA,12
2014,"12","进口","吨；","万美元","大豆",1,"巴西",1874307,1912181.9,0.6,-2,NA,NA,12
2014,"12","出口","吨；","万美元","豆粕",0,"合计",2090953.9,118131.5,1070107.4,63067.1,95.4,87.3,8
2014,"12","出口","吨；","万美元","豆粕",1,"日本",992417.7,53474,547312.2,30261,81.3,76.7,8
2014,"12","出口","吨；","万美元","豆粕",2,"韩国",386967.7,21443.4,196079,10795.2,97.4,98.6,8
2014,"12","出口","吨；","万美元","豆粕",3,"越南",253552.9,14127.2,89409,5042,183.6,180.2,8
2014,"12","进口","吨；","万美元","豆粕",0,"合计",22596.4,1756.5,16681.8,1403.8,35.5,25.1,12
2014,"12","进口","吨；","万美元","豆粕",1,"印度",16884.5,1164.7,9503.8,681.9,77.7,70.8,12
2014,"12","进口","吨；","万美元","豆粕",2,"丹麦",5200,544.2,6875,693.2,-24.4,-21.5,12
2014,"12","进口","吨；","万美元","豆粕",3,"台湾省",460.3,44.5,303,28.8,51.9,54.5,12
2014,"12","出口","吨；","万美元","猪肉",0,"合计",91516.3,42268.9,73394.8,32539.2,24.7,29.9,11
2014,"12","出口","吨；","万美元","猪肉",1,"香港",65260.1,30332.4,60391.9,26588.6,8.1,14.1,11
2014,"12","出口","吨；","万美元","猪肉",2,"吉尔吉斯斯坦",11067.5,5196.6,3626,1686.3,205.2,208.2,11
2014,"12","出口","吨；","万美元","猪肉",3,"澳门",4315.6,1985.1,4084,1902.9,5.7,4.3,11
2014,"12","进口","吨；","万美元","猪肉",0,"合计及其副产品",1378546.1,245519.2,1394882,260938.1,-1.2,-5.9,14
2014,"12","进口","吨；","万美元","猪肉",1,"美国",381374.7,76155,364304.1,75903.5,4.7,0.3,14
2014,"12","进口","吨；","万美元","猪肉",2,"丹麦",224851.9,37716.5,233889.9,41369.4,-3.9,-8.8,14
2014,"12","进口","吨；","万美元","猪肉",3,"德国",209557.9,35602.8,225835.4,41035.4,-7.2,-13.2,14
2014,"12","出口","吨；","万美元","植物油",0,"合计",145636.8,27283,127376,25206.4,14.3,8.2,10
2014,"12","出口","吨；","万美元","植物油",1,"朝鲜",82903.9,11250.6,58225.2,8589.7,42.4,31,10
2014,"12","出口","吨；","万美元","植物油",2,"香港",30491.2,5197.3,20446.4,4533.2,49.1,14.6,10
2014,"12","出口","吨；","万美元","植物油",3,"荷兰",993.1,1911.1,1141.3,1057.6,-13,80.7,10
2014,"12","进口","吨；","万美元","菜籽油",0,"合计",809237.7,81676.9,1526689.9,190847.4,-47,-57.2,12
2014,"12","进口","吨；","万美元","菜籽油",1,"加拿大",578340.8,58982.2,926662.5,116511.8,-37.6,-49.4,12
2014,"12","进口","吨；","万美元","菜籽油",2,NA,NA,NA,NA,NA,NA,NA,12
2014,"12","进口","吨；","万美元","菜籽油",117420.4,"11373.0",205159,24750.5,-42.8,-54,NA,NA,12
2014,"12","进口","吨；","万美元","豆油",0,"合计",1135476.2,109219.2,1157586.3,127538.7,-1.9,-14.4,12
2014,"12","进口","吨；","万美元","豆油",1,"阿根廷",479823.3,46256.7,630002.3,69363.4,-23.8,-33.3,12
2014,"12","进口","吨；","万美元","豆油",2,"巴西",467844.8,44511.9,428435.1,46233.4,9.2,-3.7,12
2014,"12","进口","吨；","万美元","豆油",3,"美国",186185.9,18258.7,97117.3,11640.6,91.7,56.9,12
2014,"12","出口","吨；","万美元","棉花",0,"合计",13470.2,3007.5,6733.2,1516.5,100.1,98.3,9
2014,"12","出口","吨；","万美元","棉花",1,"孟加拉国",4635.8,856,NA,NA,NA,NA,9
