"Year","Month","ID","X1","X2","X3","X4","X5","X6","X7"
"2015","05",1,"总值",116587425,539773706,80287890,406982550,0.7,-17.2
"2015","05",2,"第一类 活动物；动物产品",896541,4191659,809226,4314471,-3.7,-28.2
"2015","05",3,"01章 活动物",25600,117188,16827,154347,-2.9,14.1
"2015","05",4,"02章 肉及食用杂碎",55807,265447,308397,1515340,0.7,-4.9
"2015","05",5,"03章 鱼、甲壳动物、软体动物及其他水生无脊椎动物",678989,3177664,297873,1566400,0.6,-7.2
"2015","05",6,"04章 乳品；蛋品；天然蜂蜜；其他食用动物产品",28736,145052,161969,957213,9.3,-61.2
"2015","05",7,"05章 其他动物产品",107409,486307,24160,121171,-28.3,-6.7
"2015","05",8,"第二类 植物产品",998488,4992286,3122573,14514143,1.3,-9.6
"2015","05",9,"06章 活树及其他活植物；鳞茎、根及类似品；插花及装饰用簇叶",14565,76275,13599,53157,-49.4,30.3
"2015","05",10,"07章 食用蔬菜、根及块茎",457551,2112993,176933,864238,8.6,5.9
"2015","05",11,"08章 食用水果及坚果；甜瓜或柑桔属水果的果皮",128242,803816,384352,1927277,-5.6,36.1
"2015","05",12,"09章 咖啡、茶、马黛茶及调味香料",125082,584384,18558,77679,-6.5,-8.2
"2015","05",13,"10章 谷物",9019,67954,520873,2262456,11.5,36.3
"2015","05",14,"11章 制粉工业产品；麦芽；淀粉；菊粉；面筋",30478,147781,48963,269438,-6.4,8.6
"2015","05",15,"12章 含油子仁及果实；杂项子仁及果实；工业用或药用植物；稻草、秸秆及饲料",157113,840018,1933859,8945331,6.5,-23.3
"2015","05",16,"13章 虫胶；树胶、树脂及其他植物液、汁",69332,326754,13701,58769,1.9,-10.2
"2015","05",17,"14章 编结用植物材料；其他植物产品",7106,32311,11735,55799,18.6,1
"2015","05",18,"第三类 
  动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",36143,165362,382344,1746530,5.3,-32.2
"2015","05",19,"15章 动、植物油、脂及其分解产品；精制的食用油脂；动、植物蜡",36143,165362,382344,1746530,5.3,-32.2
"2015","05",20,"第四类 
  食品；饮料、酒及醋；烟草、烟草及烟草代用品的制品",1527625,6757354,985313,4505934,-3.4,0.1
"2015","05",21,"16章 肉、鱼、甲壳动物、软体动物及其他水生无脊椎动物的制品",433985,1914704,10972,60749,-6.3,10.3
"2015","05",22,"17章 糖及糖食",85151,366995,137182,562049,1.5,30.2
"2015","05",23,"18章 可可及可可制品",19889,107427,33755,180490,3.6,23.3
"2015","05",24,"19章 谷物、粮食粉、淀粉或乳的制品；糕饼点心",75146,370579,161827,796952,-1.4,23.2
